Vmax_A_mol_m2_s,eps_membrane,apical_ratio,Da,clearance_uL_min_cm2
1.7782794100389227e-07,0.6,10.0,0.6783084594260383,6.058612960132756
3.162277660168379e-07,0.6,10.0,1.206221967052546,8.747442565561597
5.62341325190349e-07,0.6,10.0,2.1449996879461906,11.170111652814892
1e-06,0.6,10.0,3.814408779614625,12.70867559718517
1.7782794100389227e-06,0.6,10.0,6.783084594260384,13.519966907946024
3.162277660168379e-06,0.6,10.0,12.06221967052546,13.93786530583763
5.623413251903491e-06,0.6,10.0,21.44999687946191,14.15843319371362
9.999999999999999e-06,0.6,10.0,38.14408779614625,14.27768806034366
1.778279410038923e-05,0.6,10.0,67.83084594260384,14.343219004280131
3.1622776601683795e-05,0.6,10.0,120.62219670525462,14.379583860647468
5.623413251903491e-05,0.6,10.0,214.49996879461906,14.399879517816435
0.0001,0.6,10.0,381.44087796146255,14.411243955842677
0.00017782794100389227,0.6,10.0,678.3084594260383,14.417619264432329
0.00031622776601683794,0.6,10.0,1206.2219670525462,14.421199498956998
0.0005623413251903491,0.6,10.0,2144.9996879461905,14.423211274383892
0.001,0.6,10.0,3814.4087796146255,14.424342092350077
1e-09,0.65,10.0,0.0035209927196442697,0.045680067748888636
1.7782794100389228e-09,0.65,10.0,0.006261308856240354,nan
3.1622776601683795e-09,0.65,10.0,0.01113435661894658,0.14389097700764342
5.623413251903491e-09,0.65,10.0,0.0197999971195033,0.2547511032524585
1e-08,0.65,10.0,0.0352099271964427,0.44950007083233445
1.7782794100389228e-08,0.65,10.0,0.06261308856240354,0.788458384213149
3.162277660168379e-08,0.65,10.0,0.11134356618946578,1.3689951985803028
5.6234132519034905e-08,0.65,10.0,0.19799997119503296,2.336202627545722
1e-07,0.65,10.0,0.3520992719644269,3.8732832181226913
1.7782794100389227e-07,0.65,10.0,0.6261308856240353,6.122116922437971
3.162277660168379e-07,0.65,10.0,1.113435661894658,8.944487803506792
5.62341325190349e-07,0.65,10.0,1.9799997119503296,nan
1e-06,0.65,10.0,3.520992719644269,13.44278251300002
1.7782794100389227e-06,0.65,10.0,6.261308856240354,14.422577105363924
3.162277660168379e-06,0.65,10.0,11.134356618946578,14.929815358231169
5.623413251903491e-06,0.65,10.0,19.7999971195033,15.197301498600963
9.999999999999999e-06,0.65,10.0,35.20992719644269,15.341701150827042
1.778279410038923e-05,0.65,10.0,62.61308856240354,15.420957538669331
3.1622776601683795e-05,0.65,10.0,111.3435661894658,15.4649067490932
5.623413251903491e-05,0.65,10.0,197.99997119503297,15.489424589665736
0.0001,0.65,10.0,352.099271964427,15.503149734947229
0.00017782794100389227,0.65,10.0,626.1308856240354,15.510848254649488
0.00031622776601683794,0.65,10.0,1113.4356618946579,15.515171220049407
0.0005623413251903491,0.65,10.0,1979.9997119503298,15.517600231647556
0.001,0.65,10.0,3520.9927196442695,15.518965542062531
1e-09,0.7000000000000001,10.0,0.0032694932396696787,0.04568156166197273
1.7782794100389228e-09,0.7000000000000001,10.0,0.005814072509366042,nan
3.1622776601683795e-09,0.7000000000000001,10.0,0.010339045431878966,0.14390565077196832
5.623413251903491e-09,0.7000000000000001,10.0,0.01838571161096735,0.25479761310080207
1e-08,0.7000000000000001,10.0,0.03269493239669679,0.4496477541179801
1.7782794100389228e-08,0.7000000000000001,10.0,0.058140725093660424,0.788928832854303
3.162277660168379e-08,0.7000000000000001,10.0,0.10339045431878965,1.3705023076110094
5.6234132519034905e-08,0.7000000000000001,10.0,0.18385711610967345,2.341076739896867
1e-07,0.7000000000000001,10.0,0.32694932396696785,3.889260965635999
1.7782794100389227e-07,0.7000000000000001,10.0,0.5814072509366043,6.1748724596554005
3.162277660168379e-07,0.7000000000000001,10.0,1.0339045431878966,9.109539426522867
5.62341325190349e-07,0.7000000000000001,10.0,1.8385711610967346,12.040357811804341
1e-06,0.7000000000000001,10.0,3.2694932396696785,14.125053701434009
1.7782794100389227e-06,0.7000000000000001,10.0,5.814072509366042,15.28815340836666
3.162277660168379e-06,0.7000000000000001,10.0,10.339045431878965,15.894769844870238
5.623413251903491e-06,0.7000000000000001,10.0,18.38571161096735,16.214687569901987
9.999999999999999e-06,0.7000000000000001,10.0,32.694932396696785,16.38719130068563
1.778279410038923e-05,0.7000000000000001,10.0,58.14072509366043,16.48177916077135
3.1622776601683795e-05,0.7000000000000001,10.0,103.39045431878966,16.534195550553424
5.623413251903491e-05,0.7000000000000001,10.0,183.85711610967346,16.563425308698285
0.0001,0.7000000000000001,10.0,326.9493239669679,16.579784384388464
0.00017782794100389227,0.7000000000000001,10.0,581.4072509366042,16.588959064562207
0.00031622776601683794,0.7000000000000001,10.0,1033.9045431878967,16.59411054930584
0.0005623413251903491,0.7000000000000001,10.0,1838.5711610967348,16.597004969257867
0.001,0.7000000000000001,10.0,3269.4932396696786,16.598631839082863
1e-09,0.75,10.0,0.0030515270236917006,0.04568288733511524
1.7782794100389228e-09,0.75,10.0,0.005426467675408307,nan
3.1622776601683795e-09,0.75,10.0,0.00964977573642037,0.14391835847463133
